surface,bucket_key,total_variants,filled_variants,unique_opener60,unique_closer60,top_prefix60_ratio,opener_pass,closer_pass,prefix_pass,overall_pass
interrogation_answers,"b|d-1|visit_route|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|visit_route|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|call_record|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S0",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S1",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S2",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S3",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S4",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S5",10,10,3,10,0.4,true,true,true,true
interrogation_answers,"b|d-1|family_items|S0",10,10,3,10,0.4,true,true,true,true
